2024-02-05T09:50:38.520737
,Long Name,Sector,Price,Trailing PE,Forward PE,Market Cap,Dividend Yield,Payout Ratio
MMM,3M Company,Industrials,96.22,,10.1792145,53042.249728,6.25,61.67
AOS,A. O. Smith Corporation,Industrials,81.34,40.258705,20.029703,12034.42176,1.5800001,59.7
ABT,Abbott Laboratories,Healthcare,113.23,34.3589,21.834309,194456.092672,1.96,62.580000000000005
ABBV,AbbVie Inc.,Healthcare,165.27,45.041092,15.899419,290254.749696,3.77,160.27
ACN,Accenture plc,Technology,371.92,34.358334,27.405466,232657.928192,1.39,43.1
ADBE,Adobe Inc.,Technology,620.7,51.808437,32.760406,277496.365056,,
AMD,"Advanced Micro Devices, Inc.",Technology,175.29,1611.3636,49.64986,286347.395072,,
AES,The AES Corporation,Utilities,17.23,,9.026316,11484.136448,3.9100002,76.25999999999999
AFL,Aflac Incorporated,Financial Services,85.08,11.6863,13.267496,49853.46048,2.34,22.74
A,"Agilent Technologies, Inc.",Healthcare,133.71,31.262531,21.65124,38380.597248,0.72000003,21.48
APD,"Air Products and Chemicals, Inc.",Basic Materials,266.17,25.451895,18.430681,58201.509888,2.6800001,66.7
ABNB,"Airbnb, Inc.",Consumer Cyclical,142.11,18.224115,33.774265,95895.3472,,
AKAM,"Akamai Technologies, Inc.",Technology,123.78,37.17825,18.3125,18561.386496,,
ALB,Albemarle Corporation,Basic Materials,120.07,4.248139,11.534166,14063.583232,1.34000005,5.6500003
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,123.81,90.108696,33.79076,21608.921088,4.0900003,355.07002
ALGN,"Align Technology, Inc.",Healthcare,264.55,55.87315,28.820065,20240.96768,,
ALLE,Allegion plc,Industrials,125.72,19.757912,17.68697,10962.03776,1.4400001,27.85
LNT,Alliant Energy Corporation,Utilities,48.84,17.893772,15.912052,12465.494016,3.9300002,65.37999500000001
ALL,The Allstate Corporation,Financial Services,158.88,,13.153654,41443.36896,2.25,107.79
GOOGL,Alphabet Inc.,Communication Services,151.1,29.154215,24.705357,1914015.449088,,
GOOG,Alphabet Inc.,Communication Services,152.87,29.518232,23.161144,1913839.550464,,
MO,"Altria Group, Inc.",Consumer Defensive,40.42,8.204082,8.571428,71099.727872,9.75,77.55000600000001
AMZN,"Amazon.com, Inc.",Consumer Cyclical,158.42,83.3089,47.640717,1644346.08128,,
AMCR,Amcor plc,Consumer Cyclical,9.52,14.454545,13.068493,13788.544,5.239999699999999,74.81
AEE,Ameren Corporation,Utilities,69.95,15.761906,15.210066,18277.306368,3.63,56.240004
AAL,American Airlines Group Inc.,Industrials,15.55,12.504132,4.7429466,9899.15136,,
AEP,"American Electric Power Company, Inc.",Utilities,78.09,17.85321,13.9,40934.187008,4.52,76.14999999999999
AXP,American Express Company,Financial Services,192.54,17.952763,17.638353,145633.886208,1.1900000000000002,21.41
AIG,"American International Group, Inc.",Financial Services,69.15,12.071179,9.358008,48812.838912,2.07,23.61
AMT,American Tower Corporation,Real Estate,199.2,131.52666,40.67835,91969.691648,3.45,312.67002
AWK,"American Water Works Company, Inc.",Utilities,124.6,25.446281,23.914564,23979.86816,2.3,56.29999599999999
AMP,"Ameriprise Financial, Inc.",Financial Services,393.43,18.763182,10.711549,39218.2784,1.38,25.07
AME,"AMETEK, Inc.",Industrials,164.66,29.56962,23.941435,37740.253184,0.61000003,17.57
AMGN,Amgen Inc.,Healthcare,310.57,22.174252,16.879805,166852.427776,2.8900001,59.25
APH,Amphenol Corporation,Technology,100.81,32.382637,27.667582,60255.801344,0.8699999999999999,27.33
ADI,"Analog Devices, Inc.",Technology,195.32,29.5625,22.214205,96164.069376,1.77,50.990003
ANSS,"ANSYS, Inc.",Technology,338.22,60.297638,34.753136,28877.369344,,
AON,Aon plc,Financial Services,299.79,22.94073,18.635801,60445.208576,0.8099999999999999,17.84
APA,APA Corporation,Energy,32.07,6.4091816,6.1868978,9731.096576,3.11,19.96
AAPL,Apple Inc.,Technology,194.27,31.338762,29.154545,2975178.948608,0.5,15.329999999999998
AMAT,"Applied Materials, Inc.",Technology,169.07,20.57953,18.52386,138871.144448,0.77,14.3
APTV,Aptiv PLC,Consumer Cyclical,85.32,10.71482,14.7835045,24337.44896,,
ACGL,Arch Capital Group Ltd.,Financial Services,79.79,10.309678,10.230474,29816.44288,,
ADM,Archer-Daniels-Midland Company,Consumer Defensive,52.01,7.239221,8.747899,27762.481152,3.8399998,24.340001
ANET,"Arista Networks, Inc.",Technology,261.94,44.066666,36.26886,82254.839808,,
AJG,Arthur J. Gallagher & Co.,Financial Services,235.99,52.60271,20.316477,50494.337024,1.0299999,49.77
AIZ,"Assurant, Inc.",Financial Services,171.41,17.398571,11.877522,8976.162816,1.6900001000000002,28.51
T,AT&T Inc.,Communication Services,17.15,8.77665,8.079439,123623.849984,6.419999999999999,56.35
ATO,Atmos Energy Corporation,Utilities,114.29,18.66995,16.059322,17149.825024,2.8299998,48.520002
ADSK,"Autodesk, Inc.",Technology,252.4,59.545883,31.013481,54135.472128,,
ADP,"Automatic Data Processing, Inc.",Industrials,237.76,28.007116,23.61,97109.11488,2.3699999,59.38
AZO,"AutoZone, Inc.",Consumer Cyclical,2748.05,20.243484,16.97131,48075.63264,,
AVB,"AvalonBay Communities, Inc.",Real Estate,177.03,26.93475,33.938816,25207.66464,3.72,99.39
AVY,Avery Dennison Corporation,Consumer Cyclical,201.23,33.781513,21.292374,16186.790912,1.61,52.529997
AXON,"Axon Enterprise, Inc.",Industrials,252.58,128.24489,61.15815,18835.359744,,
BKR,Baker Hughes Company,Energy,30.26,15.958116,11.952941,30632.398848,2.6199998,40.84
BALL,Ball Corporation,Consumer Cyclical,57.18,29.812502,18.644953,18047.830016,1.39999995,41.669998
BAC,Bank of America Corporation,Financial Services,33.4,10.853896,10.579114,263945.224192,2.87,29.87
BK,The Bank of New York Mellon Corporation,Financial Services,55.46,13.8325,9.441979,42014.502912,3.04,39.5
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,41.99,13.515923,12.783133,9588.93568,1.89,25.480000000000004
BAX,Baxter International Inc.,Healthcare,39.21,84.32609,13.149153,19679.09888,2.99,252.17
BDX,"Becton, Dickinson and Company",Healthcare,237.8,46.311153,16.595371,68724.342784,1.61,71.370006
BRK.B,Berkshire Hathaway Inc.,Financial Services,381.05,10.97693,23.133253,837177.376768,,
BBY,"Best Buy Co., Inc.",Consumer Cyclical,75.5,12.922279,12.225491,16115.929088,4.9200002,62.870000000000005
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,333.51,,28.43993,9530.472448,,
TECH,Bio-Techne Corporation,Healthcare,72.6,47.782894,33.624996,11486.434304,0.44,21.049999
BIIB,Biogen Inc.,Healthcare,247.36,24.335983,15.613521,35473.928192,,
BLK,"BlackRock, Inc.",Financial Services,791.33,21.552149,17.291895,116914.044928,2.5899999,54.78
BX,Blackstone Inc.,Financial Services,123.85,67.70109,20.027332,151687.643136,2.6700001,180.43
BA,The Boeing Company,Industrials,203.08,,59.213257,124304.62976,,
BKNG,Booking Holdings Inc.,Consumer Cyclical,3495.94,24.880531,19.934301,122798.497792,,
BWA,BorgWarner Inc.,Consumer Cyclical,34.0,8.326829,7.995316,8024.777728,1.28999995,15.12
BXP,"Boston Properties, Inc.",Real Estate,71.84,57.886177,29.30041,11174.127616,5.510000000000001,318.7
BSX,Boston Scientific Corporation,Healthcare,61.08,74.54878,27.290178,89554.223104,,
BMY,Bristol-Myers Squibb Company,Healthcare,49.96,12.614213,7.009873,101127.569408,4.8299998,57.87
AVGO,Broadcom Inc.,Technology,1219.7,36.4894,23.491518,564053.737472,1.7399999999999998,55.78999999999999
BR,"Broadridge Financial Solutions, Inc.",Technology,208.02,36.923622,24.34192,24456.45824,1.54,52.75
BRO,"Brown & Brown, Inc.",Financial Services,77.07,25.206556,21.595505,21879.894016,0.6799999999999999,15.57
BF.B,Brown-Forman Corporation,Consumer Defensive,57.55,34.993828,26.61502,27263.977472,1.54,50.740004000000006
BLDR,"Builders FirstSource, Inc.",Industrials,169.81,14.209556,14.103161,20909.78304,,
BG,Bunge Global SA,Consumer Defensive,88.99,6.8343654,8.063928,12828.931072,3.0,19.639999
CDNS,"Cadence Design Systems, Inc.",Technology,289.0,82.59375,49.359936,79096.594432,,
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,45.19,13.564025,31.330988,9596.983296,,
CPT,Camden Property Trust,Real Estate,96.26,46.936275,56.656803,10223.323136,4.18,193.14
CPB,Campbell Soup Company,Consumer Defensive,44.4,16.85606,13.734568,13265.449984,3.3299997,56.060004
COF,Capital One Financial Corporation,Financial Services,132.55,11.618091,8.32653,52769.087488,1.73,20.08
CAH,"Cardinal Health, Inc.",Healthcare,106.18,173.27869,13.638709,26051.66592,1.89,326.66001
KMX,"CarMax, Inc.",Consumer Cyclical,69.42,22.39936,20.380814,11071.84128,,
CCL,Carnival Corporation & plc,Consumer Cyclical,16.5,,11.639706,20678.252544,,
CARR,Carrier Global Corporation,Industrials,56.39,39.368793,19.409092,49858.248704,1.37,50.0
CTLT,"Catalent, Inc.",Healthcare,51.57,,32.64375,9434.878976,,
CAT,Caterpillar Inc.,Industrials,301.0,16.97449,14.634897,152435.310592,1.7399999999999998,27.78
CBOE,"Cboe Global Markets, Inc.",Financial Services,188.11,28.076807,22.326944,19678.803968,1.17999995,30.87
CBRE,"CBRE Group, Inc.",Real Estate,86.87,45.405262,19.696346,26294.491136,,
CDW,CDW Corporation,Technology,229.0,28.63965,21.833649,30769.272832,1.08,29.459998
CE,Celanese Corporation,Basic Materials,145.99,7.8612156,12.291,15908.069376,1.9199999,15.06
COR,"Cencora, Inc.",Healthcare,219.18,25.519344,15.4932375,43721.895936,0.94,22.74
CNC,Centene Corporation,Healthcare,73.8,16.356983,10.832599,39408.00512,,
CNP,"CenterPoint Energy, Inc.",Utilities,27.62,21.880953,17.018518,17402.845184,2.9000001,59.52
CDAY,Ceridian HCM Holding Inc.,Technology,68.66,2273.3333,40.595238,10647.861248,,
CF,"CF Industries Holdings, Inc.",Basic Materials,77.44,7.2016726,11.53125,14804.929536,2.0599999,14.87
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,87.22,26.008928,22.937008,10194.130944,2.79,72.62000400000001
CRL,"Charles River Laboratories International, Inc.",Healthcare,216.35,23.865656,20.377428,11299.658752,,
SCHW,The Charles Schwab Corporation,Financial Services,63.95,25.212599,14.4886875,116718.026752,1.5599999999999998,39.37
CHTR,"Charter Communications, Inc.",Communication Services,371.68,12.3145,10.22147,55776.19456,,
CVX,Chevron Corporation,Energy,148.03,11.072012,12.768835,281539.05152,4.05,44.169998
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,2313.0,55.24222,43.489437,63843.233792,,
CB,Chubb Limited,Financial Services,241.05,14.124123,11.363166,98423.513088,1.43,19.790001
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,98.2,56.318184,29.06745,24421.384192,1.1,61.36000000000001
CI,The Cigna Group,Healthcare,299.59,16.807,10.527394,87148.09344,1.65,27.13
CINF,Cincinnati Financial Corporation,Financial Services,112.62,10.65622,18.186386,17606.64576,2.6700001,27.92
CTAS,Cintas Corporation,Industrials,601.34,43.288197,37.039036,60600.598528,0.8999999999999999,36.23
CSCO,"Cisco Systems, Inc.",Technology,52.42,15.752266,14.091891,211869.843456,2.99,46.83
C,Citigroup Inc.,Financial Services,53.86,13.284653,8.206422,102139.37152,3.9100002,51.49
CFG,"Citizens Financial Group, Inc.",Financial Services,33.61,10.731629,8.232843,15666.97984,5.0,53.67
CLX,The Clorox Company,Consumer Defensive,144.68,209.68115,24.275166,17948.854272,3.32,686.96003
CME,CME Group Inc.,Financial Services,206.64,24.675417,21.835268,74439.35232,4.66,105.01
CMS,CMS Energy Corporation,Utilities,56.66,22.200787,16.883234,16452.57216,3.46,75.69
KO,The Coca-Cola Company,Consumer Defensive,59.25,24.036436,23.01163,256680.83712,3.1,73.68
CTSH,Cognizant Technology Solutions Corporation,Technology,78.56,18.84878,16.691145,38749.196288,1.5,27.800000000000004
CL,Colgate-Palmolive Company,Consumer Defensive,81.52,29.902529,23.870317,68199.907328,2.32,68.95
CMCSA,Comcast Corporation,Communication Services,45.43,12.469002,9.821655,186200.195072,2.6800001,31.27
CMA,Comerica Incorporated,Financial Services,55.16,8.52795,8.858065,7243.837952,5.17,44.099998
CAG,"Conagra Brands, Inc.",Consumer Defensive,29.82,14.448781,11.011152,14158.508032,4.73,66.33999299999999
COP,ConocoPhillips,Energy,112.04,12.225491,12.37376,133263.03232,2.0399999,49.46
ED,"Consolidated Edison, Inc.",Utilities,90.0,13.296898,17.017014,31076.704256,3.69,47.56
STZ,"Constellation Brands, Inc.",Consumer Defensive,251.42,28.977934,18.57781,45613.58848,1.43,40.26
CEG,Constellation Energy Corporation,Utilities,120.07,23.27639,18.48628,38731.456512,0.93,18.94
COO,"The Cooper Companies, Inc.",Healthcare,379.0,62.945946,23.963987,18455.369728,0.02,1.0199999
CPRT,"Copart, Inc.",Industrials,49.0,35.08029,29.484663,46148.702208,,
GLW,Corning Incorporated,Technology,30.93,45.382355,15.664975,26328.979456,3.63,163.24
CTVA,"Corteva, Inc.",Basic Materials,45.66,29.21019,15.235881,32318.8736,1.39999995,38.849998
CSGP,"CoStar Group, Inc.",Real Estate,84.98,85.94949,64.46211,34747.604992,,
COST,Costco Wholesale Corporation,Consumer Defensive,680.08,46.726532,40.121494,304787.881984,0.58999998,26.99
CTRA,Coterra Energy Inc.,Energy,25.34,8.750865,11.495455,19022.936064,3.1600002000000003,57.09
CCI,Crown Castle Inc.,Real Estate,110.77,31.387283,41.292774,48057.01632,5.7600003,180.91999
CSX,CSX Corporation,Industrials,35.07,19.129728,16.086363,69935.243264,1.24,23.78
CMI,Cummins Inc.,Industrials,239.08,12.252037,12.289581,34108.09856,2.79,32.549998
CVS,CVS Health Corporation,Healthcare,72.66,11.1791725,9.311224,93943.701504,3.64,36.220002
DHR,Danaher Corporation,Healthcare,236.535,29.419191,32.5419,172169.986048,0.41,9.96
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,162.5,19.490314,16.579815,19223.977984,3.19,61.02
DVA,DaVita Inc.,Healthcare,107.62,16.641304,12.346773,9789.764608,,
DE,Deere & Company,Industrials,393.78,11.363164,13.734124,110209.671168,1.49,14.580000000000002
DAL,"Delta Air Lines, Inc.",Industrials,40.26,5.527197,5.326613,25500.438528,1.01,2.79
XRAY,DENTSPLY SIRONA Inc.,Healthcare,35.32,,17.034145,7398.150656,1.6,28.83
DVN,Devon Energy Corporation,Energy,42.39,7.2606473,8.373281,27306.635264,6.73,58.77
DXCM,"DexCom, Inc.",Healthcare,126.07,134.02197,70.906975,46548.959232,,
FANG,"Diamondback Energy, Inc.",Energy,156.5,8.867196,8.436285,27964.616704,5.11,39.020002
DLR,"Digital Realty Trust, Inc.",Real Estate,142.87,49.55017,124.521736,44296.200192,3.41,168.86001
DFS,Discover Financial Services,Financial Services,104.24,9.495559,7.70317,26736.201728,2.6199998,23.979999
DG,Dollar General Corporation,Consumer Defensive,133.84,15.356732,17.76964,29291.872256,1.77,26.700002
DLTR,"Dollar Tree, Inc.",Consumer Defensive,131.89,25.185957,18.88051,28918.14912,,
D,"Dominion Energy, Inc.",Utilities,45.3,15.136213,14.696775,38124.470272,5.86,88.699996
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,418.19,28.647984,26.644629,14619.324416,1.15,32.379999999999995
DOV,Dover Corporation,Industrials,150.1,20.567902,16.192225,20975.106048,1.36,27.82
DOW,Dow Inc.,Basic Materials,55.0,65.926834,12.690141,37965.959168,5.1799998,341.46000000000004
DHI,"D.R. Horton, Inc.",Consumer Cyclical,140.65,10.1224785,9.029563,46620.286976,0.8500000000000001,7.56
DTE,DTE Energy Company,Utilities,104.3,17.122313,15.554054,21366.370304,3.74,62.98
DUK,Duke Energy Corporation,Utilities,95.63,20.2685,16.031773,73888.161792,4.279999999999999,85.410005
DD,"DuPont de Nemours, Inc.",Basic Materials,64.62,32.82741,17.864641,27810.813952,2.23,71.57
EMN,Eastman Chemical Company,Basic Materials,85.4,17.052208,10.817834,10064.123904,3.82,63.45
ETN,Eaton Corporation plc,Industrials,246.0,32.872993,24.442345,98183.880704,1.39999995,45.380002000000005
EBAY,eBay Inc.,Consumer Cyclical,42.13,8.5722885,10.6725,22156.109824,2.34,19.479999
ECL,Ecolab Inc.,Basic Materials,199.09,46.053368,32.327362,56597.438464,1.15,49.19
EIX,Edison International,Utilities,67.32,21.028038,13.235294,25890.906112,4.62,91.9
EW,Edwards Lifesciences Corporation,Healthcare,73.55,31.299145,26.536232,44420.05504,,
EA,Electronic Arts Inc.,Communication Services,139.07,38.513813,17.828644,37499.240448,0.5499999999999999,20.94
ELV,"Elevance Health, Inc.",Healthcare,480.94,19.190798,11.655023,113673.166848,1.2200001,23.47
LLY,Eli Lilly and Company,Healthcare,637.35,116.22727,51.345383,606844.485632,0.8099999999999999,79.17
EMR,Emerson Electric Co.,Industrials,96.48,25.553762,16.677193,54329.065472,2.21,55.91
ENPH,"Enphase Energy, Inc.",Technology,107.7,26.408522,26.211443,14388.379648,,
ETR,Entergy Corporation,Utilities,99.22,14.309798,13.793056,21001.381888,4.5500003,61.67
EOG,"EOG Resources, Inc.",Energy,114.96,8.571217,9.596346,67377.152,3.15,23.92
EPAM,"EPAM Systems, Inc.",Technology,286.08,35.95511,27.255198,16638.5152,,
EQT,EQT Corporation,Energy,35.97,4.9150686,13.094891,14758.592512,1.76,8.2200006
EFX,Equifax Inc.,Industrials,248.55,58.460808,30.498142,30326.167552,0.63,36.97
EQIX,"Equinix, Inc.",Real Estate,820.62,86.92175,74.47015,76137.55392,2.1,143.49
EQR,Equity Residential,Real Estate,58.95,34.0,37.923077,22464.530432,4.48,150.41001
ESS,"Essex Property Trust, Inc.",Real Estate,234.6,28.971815,40.001694,15707.884544,3.9100002,112.01999
EL,The Estée Lauder Companies Inc.,Consumer Defensive,132.23,85.4902,31.594204,46806.388736,2.02,172.55
ETSY,"Etsy, Inc.",Consumer Cyclical,69.91,28.149797,25.944029,8325.9392,,
EG,"Everest Group, Ltd.",Financial Services,376.84,7.018111,6.2387056,16477.504512,1.84,12.38
EVRG,"Evergy, Inc.",Utilities,50.19,16.81081,12.958333,11430.916096,5.1599998000000005,82.769996
ES,Eversource Energy,Utilities,55.22,16.502995,12.221728,19254.849536,4.9000002,79.72
EXC,Exelon Corporation,Utilities,34.905,16.28372,14.52697,34850.246656,4.1100003,65.93
EXPE,"Expedia Group, Inc.",Consumer Cyclical,152.6,27.877064,12.402449,21095.176192,,
EXPD,"Expeditors International of Washington, Inc.",Industrials,130.28,24.331459,26.67967,18890.391552,1.06,25.47
EXR,Extra Space Storage Inc.,Real Estate,149.67,27.877127,27.929924,32221.016064,4.3899998,120.0
XOM,Exxon Mobil Corporation,Energy,101.97,10.228401,12.545676,411667.300352,3.69,36.150002
FFIV,"F5, Inc.",Technology,184.7,27.992378,13.345203,10964.033536,,
FDS,FactSet Research Systems Inc.,Financial Services,472.23,38.018578,26.69711,17926.125568,0.8099999999999999,30.99
FICO,Fair Isaac Corporation,Technology,1235.5,66.64958,40.73408,29732.057088,,
FAST,Fastenal Company,Industrials,69.07,33.861385,29.23077,39123.570688,2.28,69.31
FRT,Federal Realty Investment Trust,Real Estate,103.89,30.116278,37.536232,8522.156544,4.21,125.87
FDX,FedEx Corporation,Industrials,253.42,14.928783,11.592166,62860.582912,2.0,28.59
FIS,"Fidelity National Information Services, Inc.",Technology,62.06,,14.434091,37628.657664,3.28,117.65
FITB,Fifth Third Bancorp,Financial Services,35.02,10.826087,10.0172415,23744.018432,3.9,42.240003
FSLR,"First Solar, Inc.",Technology,149.06,33.4457,11.04858,15794.748416,,
FE,FirstEnergy Corp.,Utilities,36.6,38.29474,13.625468,20875.388928,4.5100003,164.21000999999998
FI,"Fiserv, Inc.",Technology,140.56,29.693275,16.415796,84830.281728,,
FLT,"FLEETCOR Technologies, Inc.",Technology,293.63,23.041536,15.178627,21228.726272,,
FMC,FMC Corporation,Basic Materials,58.34,12.414894,13.321918,7279.68768,3.98,49.36
F,Ford Motor Company,Consumer Cyclical,11.4,7.4444447,7.0745344,45593.6,5.2699998,39.220002
FTNT,"Fortinet, Inc.",Technology,65.46,45.916668,39.357147,50774.212608,,
FTV,Fortive Corporation,Technology,74.58,31.746782,20.100544,25995.573248,0.43,12.020001
FOXA,Fox Corporation,Communication Services,32.23,15.717074,8.50132,14973.98784,1.61,24.88
FOX,Fox Corporation,Communication Services,32.23,15.717074,8.50132,14973.98784,1.61,24.88
BEN,"Franklin Resources, Inc.",Financial Services,27.52,16.040697,9.546713,13671.589888,4.4899996,69.769996
FCX,Freeport-McMoRan Inc.,Basic Materials,39.68,30.929688,19.99495,56771.268608,1.52,46.88
GRMN,Garmin Ltd.,Technology,125.39,22.972376,22.19573,23866.630144,2.34,53.87
IT,"Gartner, Inc.",Technology,459.71,39.692505,38.530933,36313.403392,,
GEHC,GE HealthCare Technologies Inc.,Healthcare,73.0,21.706232,17.334124,33301.026816,0.16,1.78
GEN,Gen Digital Inc.,Technology,23.86,10.659193,10.425439,15229.796352,2.1,22.42
GNRC,Generac Holdings Inc.,Industrials,114.91,45.332016,15.754121,7045.590528,,
GD,General Dynamics Corporation,Industrials,266.56,22.070774,16.202322,72336.809984,1.99,43.93
GE,General Electric Company,Industrials,130.53,16.43985,22.04874,142785.888256,0.23999999,4.01
GIS,"General Mills, Inc.",Consumer Defensive,64.78,15.695864,13.8137045,36634.58304,3.66,54.99000000000001
GM,General Motors Company,Consumer Cyclical,35.16,4.9410114,4.872576,48178.302976,1.0199999,5.06
GPC,Genuine Parts Company,Consumer Cyclical,143.37,16.098196,14.436235,19996.297216,2.6600001,42.270002
GILD,"Gilead Sciences, Inc.",Healthcare,80.23,17.027836,11.9759035,99085.099008,3.77,63.81
GPN,Global Payments Inc.,Industrials,130.92,40.82317,11.395744,34866.085888,0.75,30.49
GL,Globe Life Inc.,Financial Services,123.75,15.297898,10.827646,11648.131072,0.73,10.91
GS,"The Goldman Sachs Group, Inc.",Financial Services,378.65,16.526247,10.526331,123201.855488,2.91,45.91
HAL,Halliburton Company,Energy,36.87,12.852739,10.338842,33591.302144,1.8099999,21.92
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,87.14,11.940852,8.858163,26109.841408,2.17,23.380000000000003
HAS,"Hasbro, Inc.",Consumer Cyclical,50.61,,13.485489,7092.228096,5.48,325.57998000000003
HCA,"HCA Healthcare, Inc.",Healthcare,287.49,14.003458,14.527421,75863.154688,0.8500000000000001,11.65
PEAK,"Healthpeak Properties, Inc.",Real Estate,19.46,44.136364,44.136364,10625.808384,6.18,272.73002
HSIC,"Henry Schein, Inc.",Healthcare,74.51,21.952662,14.577602,9641.399296,,
HSY,The Hershey Company,Consumer Defensive,189.61,20.496769,19.291077,38897.565696,2.51,46.34
HES,Hess Corporation,Energy,143.5,30.30672,18.37707,44310.757376,1.21,35.45
HPE,Hewlett Packard Enterprise Company,Technology,15.9,10.285715,7.5071096,20592.001024,3.28,31.17
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,191.49,38.915154,27.24611,49398.038528,0.31,12.1199995
HOLX,"Hologic, Inc.",Healthcare,74.45,40.6612,17.14516,17465.58976,,
HD,"The Home Depot, Inc.",Consumer Cyclical,351.47,22.77564,22.731924,353616.592896,2.35,52.370000000000005
HON,Honeywell International Inc.,Industrials,203.03,25.006197,20.261044,133036.859392,2.14,51.05
HRL,Hormel Foods Corporation,Consumer Defensive,30.6,21.372414,18.556887,16946.571264,3.65,75.86
HST,"Host Hotels & Resorts, Inc.",Real Estate,19.59,18.761906,20.957447,14094.32576,3.3000000000000003,54.290000000000006
HWM,Howmet Aerospace Inc.,Industrials,55.48,35.993507,25.543777,22822.969344,0.32,10.39
HPQ,HP Inc.,Technology,29.64,9.202454,8.174387,29727.059968,3.67,32.209998
HUBB,Hubbell Incorporated,Industrials,333.85,24.998482,20.035324,17640.566784,1.48,34.04
HUM,Humana Inc.,Healthcare,354.92,18.052475,10.630666,44150.976512,0.98,17.7
HBAN,Huntington Bancshares Incorporated,Financial Services,12.94,10.524194,9.456522,18900.576256,4.75,50.0
HII,"Huntington Ingalls Industries, Inc.",Industrials,255.47,19.308912,15.335933,10155.312128,2.0299999,37.43
IBM,International Business Machines Corporation,Technology,191.31,22.99632,19.281893,171136.761856,3.54,81.35
IEX,IDEX Corporation,Industrials,207.78,25.694101,24.869204,15817.073664,1.2200001,30.5
IDXX,"IDEXX Laboratories, Inc.",Healthcare,526.59,53.460285,47.85597,43600.478208,,
ITW,Illinois Tool Works Inc.,Industrials,262.67,25.451988,25.777014,78955.503616,2.1300001,51.74999999999999
ILMN,"Illumina, Inc.",Healthcare,145.17,,171.5,22332.045312,,
INCY,Incyte Corporation,Healthcare,61.32,32.255318,13.445676,13589.968896,,
IR,Ingersoll Rand Inc.,Industrials,79.36,43.097828,25.015774,32100.4032,0.1,4.35
PODD,Insulet Corporation,Healthcare,198.98,113.639534,79.779594,13648.502784,,
INTC,Intel Corporation,Technology,44.18,109.125,18.1875,184552.210432,1.15,185.0
ICE,"Intercontinental Exchange, Inc.",Financial Services,127.09,29.526684,21.828474,72839.04512,1.3200001,38.05
IFF,International Flavors & Fragrances Inc.,Basic Materials,82.69,1371.0001,20.261084,20999.251968,3.94,5400.0
IP,International Paper Company,Consumer Cyclical,37.83,17.233944,16.193966,12999.858176,4.9200002,84.86000299999999
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,33.13,13.799162,11.333333,12631.472128,3.76,51.05
INTU,Intuit Inc.,Technology,642.8,70.40176,37.008656,179539.755008,0.5599999999999999,35.49
ISRG,"Intuitive Surgical, Inc.",Healthcare,371.6,74.65339,51.05722,131942.506496,,
IVZ,Invesco Ltd.,Financial Services,16.27,,8.576719,7287.269888,4.94,59.62
INVH,Invitation Homes Inc.,Real Estate,33.3,41.04938,46.180553,20432.0256,3.37,123.46
IQV,IQVIA Holdings Inc.,Healthcare,216.99,36.25671,19.537973,39436.423168,,
IRM,Iron Mountain Incorporated,Real Estate,68.65,71.87234,36.71739,19726.843904,3.85,266.54
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,206.89,29.573065,21.524504,21306.673152,0.83,24.1
JBL,Jabil Inc.,Technology,124.62,20.955782,11.5591,15716.217856,0.26,5.44
JKHY,"Jack Henry & Associates, Inc.",Technology,169.16,34.25657,30.1726,12349.478912,1.23000005,41.41
J,Jacobs Solutions Inc.,Industrials,136.25,25.836159,15.277284,17329.293312,0.76,14.69
JNJ,Johnson & Johnson,Healthcare,160.43,30.673079,15.652601,383961.16992,2.98,90.379995
JCI,Johnson Controls International plc,Industrials,55.84,21.037174,13.570744,38565.916672,2.6199998,53.900003
JPM,JPMorgan Chase & Co.,Financial Services,172.61,10.614911,10.707272,495597.846528,2.4400001,25.26
JNPR,"Juniper Networks, Inc.",Technology,37.22,33.214287,16.034483,11914.118144,2.3699999,77.68
K,Kellanova,Consumer Defensive,54.79,23.0,15.121548,18749.544448,4.0900003,99.58
KVUE,Kenvue Inc.,Consumer Defensive,20.89,36.561405,16.539682,39908.601856,3.8399998,35.169998
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,31.73,23.343065,16.743456,44718.911488,2.69,59.49
KEY,KeyCorp,Financial Services,14.64,16.670454,8.732143,13739.393024,5.59,93.18
KEYS,"Keysight Technologies, Inc.",Technology,156.42,26.384094,19.41843,27294.765056,,
KMB,Kimberly-Clark Corporation,Consumer Defensive,120.465,23.257196,16.352226,40948.310016,4.03,90.599996
KIM,Kimco Realty Corporation,Real Estate,20.96,28.929579,30.656717,13809.494016,4.67,129.58
